ds,y
2021-08-16,1718
2021-08-17,1652
2021-08-18,2245
2021-08-19,2240
2021-08-20,2573
2021-08-21,1875
2021-08-22,2701
2021-08-23,2471
2021-08-24,2188
2021-08-25,1608
2021-08-26,4432
2021-08-27,2108
2021-08-28,2066
2021-08-29,3167
2021-08-30,3430
2021-08-31,6145
2021-09-01,15224
2021-09-02,2261
2021-09-03,11516
2021-09-04,14582
2021-09-05,3135
2021-09-06,2664
2021-09-07,19281
2021-09-08,2372
2021-09-09,2395
2021-09-10,2233
2021-09-11,5652
2021-09-12,9081
2021-09-13,4354
2021-09-14,8420
2021-09-15,4524
2021-09-16,11585
2021-09-17,6867
2021-09-18,6704
2021-09-19,5368
2021-09-20,3416
2021-09-21,6345
2021-09-22,3547
2021-09-23,8502
2021-09-24,3892
2021-09-25,5958
2021-09-26,10513
2021-09-27,4269
2021-09-28,5336
2021-09-29,3303
2021-09-30,6445
2021-10-01,3615
2021-10-02,7352
2021-10-03,8591
2021-10-04,4117
2021-10-05,5805
2021-10-06,3483
2021-10-07,6214
2021-10-08,41095
2021-10-09,7219
2021-10-10,9176
2021-10-11,24581
2021-10-12,7044
2021-10-13,3820
2021-10-14,5761
2021-10-15,4431
2021-10-16,7297
2021-10-17,8845
2021-10-18,3832
2021-10-19,5509
2021-10-20,3017
2021-10-21,5225
2021-10-22,3953
2021-10-23,7242
2021-10-24,8917
2021-10-25,4120
2021-10-26,5594
2021-10-27,3271
2021-10-28,5583
2021-10-29,4337
2021-10-30,7587
2021-10-31,8024
2021-11-01,3884
2021-11-02,5693
2021-11-03,3195
2021-11-04,4243
2021-11-05,3980
2021-11-06,8183
2021-11-07,9050
2021-11-08,14652
2021-11-09,10899
2021-11-10,4141
2021-11-11,5350
2021-11-12,4196
2021-11-13,25213
2021-11-14,9071
2021-11-15,10755
2021-11-16,53363
2021-11-17,10073
2021-11-18,5813
2021-11-19,4690
2021-11-20,8936
2021-11-21,14454
2021-11-22,10837
2021-11-23,6976
2021-11-24,3831
2021-11-25,5780
2021-11-26,4513
2021-11-27,9693
2021-11-28,13079
2021-11-29,12013
2021-11-30,9330
2021-12-01,3707
2021-12-02,5848
2021-12-03,4245
2021-12-04,11115
2021-12-05,12876
2021-12-06,10938
2021-12-07,8147
2021-12-08,3867
2021-12-09,6257
2021-12-10,4582
2021-12-11,11977
2021-12-12,13107
2021-12-13,12140
2021-12-14,9141
2021-12-15,4658
2021-12-16,6596
2021-12-17,4664
2021-12-18,12001
2021-12-19,14239
2021-12-20,11031
2021-12-21,8056
2021-12-22,4380
2021-12-23,6294
2021-12-24,5003
2021-12-25,9689
2021-12-26,12494
2021-12-27,12374
2021-12-28,7627
2021-12-29,4469
2021-12-30,5685
2021-12-31,4742
2022-01-01,7014
2022-01-02,8638
2022-01-03,6721
2022-01-04,5509
2022-01-05,4190
2022-01-06,4106
2022-01-07,4121
2022-01-08,10139
2022-01-09,11985
2022-01-10,7337
2022-01-11,5685
2022-01-12,4991
2022-01-13,5076
2022-01-14,5122
2022-01-15,11227
2022-01-16,11757
2022-01-17,9611
2022-01-18,7502
2022-01-19,4389
2022-01-20,6414
2022-01-21,5692
2022-01-22,13468
2022-01-23,15586
2022-01-24,16864
2022-01-25,9765
2022-01-26,5459
2022-01-27,8193
