ds,y
2021-12-13,636207
2021-12-14,549160
2021-12-15,296374
2021-12-16,530712
2021-12-17,296965
2021-12-18,627260
2021-12-19,722977
2021-12-20,620001
2021-12-21,513139
2021-12-22,277957
2021-12-23,400065
2021-12-24,316985
2021-12-25,546030
2021-12-26,623973
2021-12-27,588021
2021-12-28,525765
2021-12-29,268758
2021-12-30,365691
2021-12-31,298855
2022-01-01,399721
2022-01-02,449236
2022-01-03,428377
2022-01-04,329266
2022-01-05,262679
2022-01-06,267315
2022-01-07,246115
2022-01-08,542043
2022-01-09,587400
2022-01-10,464396
2022-01-11,349991
2022-01-12,279242
2022-01-13,308277
2022-01-14,275988
2022-01-15,582711
2022-01-16,617851
2022-01-17,571898
2022-01-18,493642
2022-01-19,283679
2022-01-20,370939
2022-01-21,322311
2022-01-22,684221
2022-01-23,668257
2022-01-24,799504
2022-01-25,575385
2022-01-26,303498
2022-01-27,489273
2022-01-28,326129
2022-01-29,551495
2022-01-30,649584
2022-01-31,650084
2022-02-01,514134
2022-02-02,291056
2022-02-03,446651
2022-02-04,381890
2022-02-05,599749
2022-02-06,825991
2022-02-07,712512
2022-02-08,542362
2022-02-09,308421
2022-02-10,419898
2022-02-11,355997
2022-02-12,607419
2022-02-13,676837
2022-02-14,712819
2022-02-15,508472
2022-02-16,326016
2022-02-17,456798
2022-02-18,312800
2022-02-19,608249
2022-02-20,674942
2022-02-21,696519
2022-02-22,491315
2022-02-23,307764
2022-02-24,548471
2022-02-25,394854
2022-02-26,738185
2022-02-27,749963
2022-02-28,762278
2022-03-01,543703
2022-03-02,364516
2022-03-03,471902
2022-03-04,334514
2022-03-05,710551
2022-03-06,766651
2022-03-07,704991
2022-03-08,538737
2022-03-09,324586
2022-03-10,490061
2022-03-11,377281
2022-03-12,717122
2022-03-13,692415
2022-03-14,690245
2022-03-15,550099
2022-03-16,313834
2022-03-17,416338
2022-03-18,376840
2022-03-19,677074
2022-03-20,689721
2022-03-21,607553
2022-03-22,493733
2022-03-23,305118
2022-03-24,2408549
2022-03-25,908511
2022-03-26,773103
2022-03-27,718884
2022-03-28,656321
2022-03-29,1133295
2022-03-30,368111
2022-03-31,421391
2022-04-01,306127
2022-04-02,875626
2022-04-03,746948
2022-04-04,700982
2022-04-05,590341
2022-04-06,449362
2022-04-07,609064
2022-04-08,506310
2022-04-09,837528
2022-04-10,816412
2022-04-11,703246
2022-04-12,559306
2022-04-13,445899
2022-04-14,510270
2022-04-15,325840
2022-04-16,345107
2022-04-17,407097
2022-04-18,373312
2022-04-19,341593
2022-04-20,279269
2022-04-21,284201
2022-04-22,261970
2022-04-23,453357
2022-04-24,380549
2022-04-25,602339
2022-04-26,549157
2022-04-27,417073
2022-04-28,431730
2022-04-29,419183
2022-04-30,657426
2022-05-01,558932
2022-05-02,321185
2022-05-03,295637
2022-05-04,265879
2022-05-05,284501
2022-05-06,332338
2022-05-07,422175
2022-05-08,479632
2022-05-09,511366
2022-05-10,402987
2022-05-11,324943
2022-05-12,430733
2022-05-13,340009
2022-05-14,582072
2022-05-15,449262
2022-05-16,664952
2022-05-17,394145
2022-05-18,357070
2022-05-19,363613
2022-05-20,342688
2022-05-21,526367
2022-05-22,474469
2022-05-23,488710
2022-05-24,424789
2022-05-25,327235
2022-05-26,331716
2022-05-27,337657
2022-05-28,577350
2022-05-29,509975
2022-05-30,511727
2022-05-31,369185
2022-06-01,282707
2022-06-02,330941
2022-06-03,318477
2022-06-04,948244
2022-06-05,340844
2022-06-06,295470
2022-06-07,942290
2022-06-08,286769
2022-06-09,313738
2022-06-10,291449
2022-06-11,1048551
2022-06-12,321485
2022-06-13,391976
2022-06-14,944587
2022-06-15,256736
2022-06-16,259957
2022-06-17,290146
2022-06-18,307850
2022-06-19,344357
2022-06-20,267600
2022-06-21,308058
2022-06-22,289166
2022-06-23,271944
2022-06-24,328169
2022-06-25,275841
2022-06-26,287266
2022-06-27,314989
2022-06-28,341882
2022-06-29,311545
2022-06-30,334300
2022-07-01,409789
2022-07-02,422866
2022-07-03,374747
2022-07-04,285468
2022-07-05,296543
2022-07-06,269152
2022-07-07,305288
2022-07-08,284934
2022-07-09,304709
2022-07-10,259560
2022-07-11,217101
2022-07-12,230872
2022-07-13,271692
2022-07-14,473270
2022-07-15,358895
2022-07-16,613123
2022-07-17,402798
2022-07-18,259213
2022-07-19,277103
2022-07-20,282381
2022-07-21,365169
2022-07-22,290106
2022-07-23,282857
2022-07-24,281322
2022-07-25,261397
2022-07-26,279676
2022-07-27,290916
2022-07-28,358539
2022-07-29,293387
2022-07-30,329080
2022-07-31,298231
2022-08-01,260835
2022-08-02,278981
2022-08-03,274705
2022-08-04,354721
2022-08-05,273182
2022-08-06,292904
2022-08-07,303287
2022-08-08,271578
2022-08-09,305293
2022-08-10,290496
2022-08-11,330847
2022-08-12,276759
2022-08-13,294468
2022-08-14,316820
2022-08-15,274693
2022-08-16,280115
2022-08-17,274328
2022-08-18,460581
2022-08-19,251309
2022-08-20,283955
2022-08-21,288872
2022-08-22,257440
2022-08-23,271442
2022-08-24,274544
2022-08-25,474077
2022-08-26,273377
2022-08-27,273795
2022-08-28,297236
2022-08-29,262099
2022-08-30,290496
2022-08-31,272359
2022-09-01,247961
2022-09-02,289139
2022-09-03,603753
2022-09-04,569819
2022-09-05,350045
2022-09-06,296067
2022-09-07,291468
2022-09-08,285656
2022-09-09,303877
2022-09-10,562838
2022-09-11,510924
2022-09-12,324576
2022-09-13,305926
2022-09-14,287118
2022-09-15,261832
2022-09-16,307959
2022-09-17,574755
2022-09-18,501875
2022-09-19,498599
2022-09-20,389686
2022-09-21,333517
2022-09-22,1585330
2022-09-23,326319
2022-09-24,635570
2022-09-25,1546681
2022-09-26,499609
2022-09-27,429167
2022-09-28,420535
2022-09-29,313280
2022-09-30,309160
2022-10-01,633903
2022-10-02,706955
2022-10-03,668527
2022-10-04,529250
2022-10-05,427005
2022-10-06,321928
2022-10-07,381033
2022-10-08,658277
2022-10-09,728106
2022-10-10,653761
2022-10-11,678842
2022-10-12,368663
2022-10-13,326318
2022-10-14,329223
2022-10-15,675600
2022-10-16,709477
2022-10-17,672736
2022-10-18,517174
2022-10-19,375063
2022-10-20,314039
2022-10-21,332140
2022-10-22,629939
2022-10-23,670166
2022-10-24,680503
2022-10-25,466081
2022-10-26,348374
2022-10-27,321869
2022-10-28,340263
2022-10-29,689097
2022-10-30,668914
2022-10-31,687510
2022-11-01,541697
2022-11-02,373139
2022-11-03,320022
2022-11-04,333540
2022-11-05,666732
2022-11-06,669652
2022-11-07,741533
2022-11-08,590305
2022-11-09,380235
2022-11-10,334458
2022-11-11,313839
2022-11-12,594605
2022-11-13,873488
2022-11-14,683770
2022-11-15,470944
2022-11-16,1111068
2022-11-17,345988
2022-11-18,361426
2022-11-19,1054501
2022-11-20,1821323
2022-11-21,3521320
2022-11-22,4251351
2022-11-23,3286855
2022-11-24,4616445
2022-11-25,2869051
2022-11-26,3629224
2022-11-27,3264718
2022-11-28,3852760
2022-11-29,2835352
2022-11-30,2870406
2022-12-01,2680634
2022-12-02,2396277
2022-12-03,2164883
2022-12-04,2061015
2022-12-05,2589146
2022-12-06,3113774
2022-12-07,558222
2022-12-08,468049
2022-12-09,4493705
2022-12-10,6448374
2022-12-11,769490
2022-12-12,785130
2022-12-13,3275973
2022-12-14,3449303
2022-12-15,450409
2022-12-16,398310
2022-12-17,1597680
2022-12-18,10459358
2022-12-19,841795
2022-12-20,716644
2022-12-21,467159
2022-12-22,508111
2022-12-23,387145
2022-12-24,582262
2022-12-25,694824
2022-12-26,777854
2022-12-27,607549
2022-12-28,523455
2022-12-29,392335
2022-12-30,356019
2022-12-31,535594
2023-01-01,725739
2023-01-02,653400
2023-01-03,602757
2023-01-04,450716
2023-01-05,371211
2023-01-06,369236
2023-01-07,653699
2023-01-08,821230
2023-01-09,789095
2023-01-10,615658
2023-01-11,446662
2023-01-12,384132
2023-01-13,392617
2023-01-14,657264
2023-01-15,703765
2023-01-16,731238
2023-01-17,638338
2023-01-18,463249
2023-01-19,539830
2023-01-20,392963
2023-01-21,613717
2023-01-22,705478
2023-01-23,737465
2023-01-24,574491
2023-01-25,420518
2023-01-26,452475
2023-01-27,414357
2023-01-28,649643
2023-01-29,735071
2023-01-30,748687
2023-01-31,568808
2023-02-01,460735
2023-02-02,486585
2023-02-03,403178
2023-02-04,688783
2023-02-05,848681
2023-02-06,1563218
2023-02-07,1045015
2023-02-08,787283
2023-02-09,662138
2023-02-10,588788
2023-02-11,526805
2023-02-12,485632
2023-02-13,533248
2023-02-14,473482
2023-02-15,708975
2023-02-16,646906
2023-02-17,397460
2023-02-18,415646
2023-02-19,414236
2023-02-20,613485
2023-02-21,425059
2023-02-22,344906
2023-02-23,378271
2023-02-24,344356
2023-02-25,545496
2023-02-26,554940
2023-02-27,637736
2023-02-28,568351
2023-03-01,408268
