ds,y
2021-08-15,85036
2021-08-16,78135
2021-08-17,71006
2021-08-18,86924
2021-08-19,99259
2021-08-20,94969
2021-08-21,76730
2021-08-22,105734
2021-08-23,107001
2021-08-24,93047
2021-08-25,67596
2021-08-26,130818
2021-08-27,80580
2021-08-28,78767
2021-08-29,122851
2021-08-30,111628
2021-08-31,332536
2021-09-01,666436
2021-09-02,199102
2021-09-03,714190
2021-09-04,783485
2021-09-05,210288
2021-09-06,109558
2021-09-07,799696
2021-09-08,197188
2021-09-09,98662
2021-09-10,84739
2021-09-11,210110
2021-09-12,239475
2021-09-13,142942
2021-09-14,276744
2021-09-15,180211
2021-09-16,275672
2021-09-17,177162
2021-09-18,189410
2021-09-19,198957
2021-09-20,124865
2021-09-21,217099
2021-09-22,142304
2021-09-23,217724
2021-09-24,142803
2021-09-25,190037
2021-09-26,294496
2021-09-27,169595
2021-09-28,217449
2021-09-29,134638
2021-09-30,195098
2021-10-01,132176
2021-10-02,207536
2021-10-03,256914
2021-10-04,159292
2021-10-05,214183
2021-10-06,143367
2021-10-07,184531
2021-10-08,1016005
2021-10-09,348617
2021-10-10,305349
2021-10-11,880253
2021-10-12,391738
2021-10-13,174281
2021-10-14,188349
2021-10-15,183163
2021-10-16,238404
2021-10-17,305053
2021-10-18,163128
2021-10-19,249135
2021-10-20,153557
2021-10-21,187817
2021-10-22,155743
2021-10-23,242394
2021-10-24,291425
2021-10-25,188225
2021-10-26,235627
2021-10-27,145540
2021-10-28,181279
2021-10-29,159868
2021-10-30,246452
2021-10-31,286217
2021-11-01,171472
2021-11-02,245020
2021-11-03,153458
2021-11-04,158930
2021-11-05,150421
2021-11-06,259075
2021-11-07,289157
2021-11-08,418824
2021-11-09,369954
2021-11-10,194001
2021-11-11,192813
2021-11-12,160006
2021-11-13,843212
2021-11-14,311685
2021-11-15,319861
2021-11-16,1257225
2021-11-17,795323
2021-11-18,215158
2021-11-19,175414
2021-11-20,274433
2021-11-21,378214
2021-11-22,328614
2021-11-23,285658
2021-11-24,166531
2021-11-25,204108
2021-11-26,191738
2021-11-27,288665
2021-11-28,359568
2021-11-29,348805
2021-11-30,364506
2021-12-01,176056
2021-12-02,205029
2021-12-03,173606
2021-12-04,295955
2021-12-05,349644
2021-12-06,334741
2021-12-07,304959
2021-12-08,165972
2021-12-09,209436
2021-12-10,182490
2021-12-11,303477
2021-12-12,350462
2021-12-13,365740
2021-12-14,339912
2021-12-15,207241
2021-12-16,313859
2021-12-17,181652
2021-12-18,329792
2021-12-19,383244
2021-12-20,352752
2021-12-21,338897
2021-12-22,182342
2021-12-23,218483
2021-12-24,182629
2021-12-25,286357
2021-12-26,345568
2021-12-27,360549
2021-12-28,327221
2021-12-29,188476
2021-12-30,201566
2021-12-31,189078
2022-01-01,232123
2022-01-02,246408
2022-01-03,251469
2022-01-04,207422
2022-01-05,161174
2022-01-06,155282
2022-01-07,144340
2022-01-08,284576
2022-01-09,331807
2022-01-10,285999
2022-01-11,234815
2022-01-12,173236
2022-01-13,180287
2022-01-14,159197
2022-01-15,315244
2022-01-16,343722
2022-01-17,326255
2022-01-18,315670
2022-01-19,195883
2022-01-20,204064
2022-01-21,185757
2022-01-22,327313
2022-01-23,370105
2022-01-24,435703
2022-01-25,349616
2022-01-26,189923
2022-01-27,223013
2022-01-28,191750
2022-01-29,280130
2022-01-30,336008
2022-01-31,353056
2022-02-01,292567
2022-02-02,173897
2022-02-03,231487
2022-02-04,219177
2022-02-05,305109
2022-02-06,437373
2022-02-07,402792
2022-02-08,330300
2022-02-09,191403
2022-02-10,221524
2022-02-11,216432
2022-02-12,296233
2022-02-13,347678
2022-02-14,344602
2022-02-15,292279
2022-02-16,193242
2022-02-17,241943
2022-02-18,179233
2022-02-19,302453
2022-02-20,359434
2022-02-21,361364
2022-02-22,294100
2022-02-23,179736
2022-02-24,260226
2022-02-25,200232
2022-02-26,334473
2022-02-27,383806
2022-02-28,364651
2022-03-01,300659
2022-03-02,213190
2022-03-03,223551
2022-03-04,177509
2022-03-05,329541
2022-03-06,371401
2022-03-07,344193
2022-03-08,305213
2022-03-09,196937
2022-03-10,245615
2022-03-11,198648
2022-03-12,343747
2022-03-13,358753
2022-03-14,364840
2022-03-15,318856
2022-03-16,199684
2022-03-17,224994
2022-03-18,197636
2022-03-19,330447
2022-03-20,355413
2022-03-21,336139
2022-03-22,281802
2022-03-23,183700
2022-03-24,1392118
2022-03-25,884447
2022-03-26,377378
2022-03-27,390093
2022-03-28,366551
2022-03-29,668406
2022-03-30,251282
2022-03-31,231945
2022-04-01,174416
2022-04-02,452810
2022-04-03,409783
2022-04-04,399621
2022-04-05,339085
2022-04-06,263446
2022-04-07,282240
2022-04-08,284429
2022-04-09,374245
2022-04-10,398650
2022-04-11,377351
2022-04-12,334153
2022-04-13,263134
2022-04-14,277205
2022-04-15,246233
2022-04-16,353522
2022-04-17,356880
2022-04-18,349450
2022-04-19,339518
2022-04-20,263632
2022-04-21,255840
2022-04-22,244387
2022-04-23,372126
2022-04-24,341055
2022-04-25,374444
2022-04-26,311583
2022-04-27,235756
2022-04-28,226994
2022-04-29,220399
2022-04-30,335716
2022-05-01,295652
2022-05-02,176673
2022-05-03,151649
2022-05-04,128517
2022-05-05,140180
2022-05-06,162870
2022-05-07,224329
2022-05-08,250268
2022-05-09,256772
2022-05-10,226796
2022-05-11,174961
2022-05-12,212730
2022-05-13,178807
2022-05-14,294760
2022-05-15,244027
2022-05-16,342667
2022-05-17,234761
